Order Date,Year,Month,Month_Name,Category,Sub-Category,Region,Segment,Sales,Profit,Discount,Quantity
2016-03-11,2016,3,March,Office Supplies,Binders,Central,Corporate,17.46,8.2062,0.0,2
2014-10-20,2014,10,October,Office Supplies,Storage,Central,Consumer,211.96,8.4784,0.0,4
2016-06-20,2016,6,June,Technology,Accessories,East,Consumer,45.0,4.95,0.0,3
2016-06-20,2016,6,June,Technology,Phones,East,Consumer,21.8,6.104,0.0,2
2015-04-18,2015,4,April,Office Supplies,Binders,Central,Consumer,38.22,17.9634,0.0,6
2015-04-18,2015,4,April,Office Supplies,Labels,Central,Consumer,75.18,35.3346,0.0,6
2015-04-18,2015,4,April,Furniture,Furnishings,Central,Consumer,6.16,2.9568,0.0,2
2015-04-18,2015,4,April,Furniture,Chairs,Central,Consumer,89.99,17.0981,0.0,1
2016-12-11,2016,12,December,Office Supplies,Fasteners,East,Corporate,15.26,6.2566,0.0,7
2016-12-11,2016,12,December,Technology,Phones,East,Corporate,1029.95,298.6855,0.0,5
2016-06-17,2016,6,June,Office Supplies,Storage,East,Consumer,208.56,52.14,0.0,6
2016-06-17,2016,6,June,Office Supplies,Paper,East,Consumer,32.4,15.552,0.0,5
2016-06-17,2016,6,June,Furniture,Chairs,East,Consumer,319.41,7.098,0.1,5
2016-06-17,2016,6,June,Office Supplies,Paper,East,Consumer,14.56,6.9888,0.0,2
2016-06-17,2016,6,June,Technology,Accessories,East,Consumer,30.0,3.3,0.0,2
2016-06-17,2016,6,June,Office Supplies,Binders,East,Consumer,48.48,16.362,0.2,4
2016-06-17,2016,6,June,Office Supplies,Art,East,Consumer,1.68,0.84,0.0,1
2015-11-24,2015,11,November,Technology,Accessories,West,Consumer,13.98,6.1512,0.0,2
2015-11-24,2015,11,November,Office Supplies,Binders,West,Consumer,25.824,9.3612,0.2,6
2015-11-24,2015,11,November,Office Supplies,Paper,West,Consumer,146.73,68.9631,0.0,3
2015-11-24,2015,11,November,Furniture,Furnishings,West,Consumer,79.76,22.3328,0.0,4
2015-04-30,2015,4,April,Furniture,Chairs,Central,Home Office,213.115,-15.2225,0.3,5
2014-12-05,2014,12,December,Office Supplies,Art,West,Corporate,1113.024,111.3024,0.2,8
2014-12-05,2014,12,December,Technology,Phones,West,Corporate,167.968,62.988,0.2,4
2016-06-04,2016,6,June,Office Supplies,Paper,South,Consumer,75.88,35.6636,0.0,2
2016-09-18,2016,9,September,Office Supplies,Binders,East,Consumer,4.616,1.731,0.2,1
2017-09-14,2017,9,September,Office Supplies,Paper,Central,Consumer,19.05,8.763,0.0,3
2015-04-26,2015,4,April,Furniture,Chairs,South,Consumer,831.936,-114.3912,0.2,8
2015-04-26,2015,4,April,Furniture,Furnishings,South,Consumer,97.04,1.213,0.2,2
2015-04-26,2015,4,April,Office Supplies,Storage,South,Consumer,72.784,-18.196,0.2,1
2017-12-09,2017,12,December,Office Supplies,Binders,Central,Corporate,1.248,-1.9344,0.8,3
2017-12-09,2017,12,December,Furniture,Furnishings,Central,Corporate,9.708,-5.8248,0.6,3
2017-12-09,2017,12,December,Office Supplies,Storage,Central,Corporate,27.24,2.724,0.2,3
2014-11-26,2014,11,November,Furniture,Furnishings,Central,Consumer,19.3,-14.475,0.6,5
2016-06-12,2016,6,June,Office Supplies,Appliances,South,Corporate,208.16,56.2032,0.0,1
2016-06-12,2016,6,June,Office Supplies,Binders,South,Corporate,16.74,8.0352,0.0,3
2014-10-12,2014,10,October,Office Supplies,Art,West,Consumer,14.9,4.172,0.0,5
2014-10-12,2014,10,October,Office Supplies,Storage,West,Consumer,21.39,6.2031,0.0,1
2015-09-03,2015,9,September,Office Supplies,Envelopes,South,Corporate,200.984,62.8075,0.2,7
2017-11-13,2017,11,November,Office Supplies,Storage,Central,Home Office,230.376,-48.9549,0.2,3
2017-05-28,2017,5,May,Furniture,Chairs,South,Consumer,301.96,33.2156,0.0,2
2017-10-26,2017,10,October,Technology,Accessories,Central,Consumer,19.99,6.7966,0.0,1
2017-10-26,2017,10,October,Office Supplies,Labels,Central,Consumer,6.16,2.9568,0.0,2
2016-04-05,2016,4,April,Office Supplies,Storage,Central,Home Office,158.368,13.8572,0.2,7
2016-09-17,2016,9,September,Office Supplies,Art,West,Corporate,20.1,6.633,0.0,3
2016-09-17,2016,9,September,Technology,Phones,West,Corporate,73.584,8.2782,0.2,2
2016-09-17,2016,9,September,Office Supplies,Paper,West,Corporate,6.48,3.1104,0.0,1
2015-01-31,2015,1,January,Office Supplies,Paper,Central,Consumer,12.96,6.2208,0.0,2
2015-01-31,2015,1,January,Furniture,Furnishings,Central,Consumer,53.34,16.5354,0.0,3
2015-01-31,2015,1,January,Office Supplies,Binders,Central,Consumer,32.96,16.1504,0.0,2
2017-11-06,2017,11,November,Office Supplies,Binders,West,Home Office,5.682,-3.788,0.7,1
2017-11-09,2017,11,November,Furniture,Furnishings,East,Home Office,96.53,40.5426,0.0,7
2017-06-17,2017,6,June,Office Supplies,Binders,West,Consumer,51.312,17.9592,0.2,3
2016-09-06,2016,9,September,Office Supplies,Appliances,Central,Corporate,77.88,22.5852,0.0,6
2016-08-29,2016,8,August,Office Supplies,Paper,Central,Home Office,64.624,22.6184,0.2,7
2016-08-29,2016,8,August,Technology,Accessories,Central,Home Office,95.976,-10.7973,0.2,3
2016-08-29,2016,8,August,Office Supplies,Binders,Central,Home Office,1.788,-3.0396,0.8,3
2016-12-01,2016,12,December,Office Supplies,Paper,Central,Consumer,23.92,11.7208,0.0,4
2015-11-13,2015,11,November,Technology,Accessories,West,Consumer,238.896,-26.8758,0.2,6
2015-11-13,2015,11,November,Furniture,Furnishings,West,Consumer,102.36,-3.8385,0.2,3
2015-11-13,2015,11,November,Office Supplies,Binders,West,Consumer,36.882,-25.8174,0.7,3
2017-11-23,2017,11,November,Technology,Accessories,South,Consumer,74.112,17.6016,0.2,8
2017-11-23,2017,11,November,Technology,Phones,South,Consumer,27.992,2.0994,0.2,1
2017-11-23,2017,11,November,Office Supplies,Art,South,Consumer,3.304,1.0738,0.2,1
2015-10-15,2015,10,October,Technology,Accessories,Central,Home Office,339.96,67.992,0.2,5
2017-12-25,2017,12,December,Furniture,Furnishings,East,Corporate,41.96,10.9096,0.0,2
2016-11-03,2016,11,November,Office Supplies,Art,Central,Consumer,75.96,22.788,0.0,2
2016-11-03,2016,11,November,Office Supplies,Binders,Central,Consumer,27.24,13.3476,0.0,6
2014-08-25,2014,8,August,Office Supplies,Fasteners,East,Consumer,40.096,14.5348,0.2,14
2014-08-25,2014,8,August,Office Supplies,Envelopes,East,Consumer,4.72,1.652,0.2,2
2014-08-25,2014,8,August,Office Supplies,Paper,East,Consumer,23.976,7.4925,0.2,3
2014-08-25,2014,8,August,Office Supplies,Envelopes,East,Consumer,130.464,44.0316,0.2,6
2015-03-02,2015,3,March,Furniture,Tables,West,Consumer,787.53,165.3813,0.0,3
2015-04-05,2015,4,April,Office Supplies,Binders,South,Corporate,157.794,-115.7156,0.7,1
2016-06-12,2016,6,June,Furniture,Furnishings,East,Consumer,47.04,18.3456,0.0,3
2016-06-12,2016,6,June,Office Supplies,Binders,East,Consumer,30.84,13.878,0.0,4
2016-06-12,2016,6,June,Office Supplies,Storage,East,Consumer,226.56,63.4368,0.0,6
2016-06-12,2016,6,June,Office Supplies,Envelopes,East,Consumer,115.02,51.759,0.0,9
2016-06-12,2016,6,June,Technology,Phones,East,Consumer,68.04,19.7316,0.0,7
2014-12-26,2014,12,December,Furniture,Chairs,Central,Home Office,600.558,-8.5794,0.3,3
2014-09-20,2014,9,September,Furniture,Tables,Central,Consumer,617.7,-407.682,0.5,6
2017-11-05,2017,11,November,Office Supplies,Binders,West,Consumer,2.388,-1.8308,0.7,2
2017-11-05,2017,11,November,Office Supplies,Storage,West,Consumer,243.992,30.499,0.2,7
2016-11-06,2016,11,November,Furniture,Chairs,West,Home Office,81.424,-9.1602,0.2,2
2016-11-06,2016,11,November,Furniture,Furnishings,West,Home Office,238.56,26.2416,0.0,3
2017-02-02,2017,2,February,Technology,Phones,East,Corporate,59.97,-11.994,0.4,5
2017-02-02,2017,2,February,Office Supplies,Paper,East,Corporate,78.304,29.364,0.2,2
2017-02-02,2017,2,February,Office Supplies,Fasteners,East,Corporate,21.456,6.9732,0.2,9
2016-10-13,2016,10,October,Office Supplies,Paper,West,Consumer,20.04,9.6192,0.0,3
2016-10-13,2016,10,October,Office Supplies,Paper,West,Consumer,35.44,16.6568,0.0,1
2016-10-13,2016,10,October,Office Supplies,Art,West,Consumer,11.52,3.456,0.0,4
2016-10-13,2016,10,October,Office Supplies,Fasteners,West,Consumer,4.02,1.9698,0.0,2
2016-10-13,2016,10,October,Office Supplies,Binders,West,Consumer,76.176,26.6616,0.2,3
2016-10-13,2016,10,October,Office Supplies,Supplies,West,Consumer,65.88,18.4464,0.0,6
2016-10-13,2016,10,October,Furniture,Furnishings,West,Consumer,43.12,20.6976,0.0,14
2016-09-05,2016,9,September,Furniture,Furnishings,East,Corporate,82.8,10.35,0.2,2
2017-09-18,2017,9,September,Office Supplies,Art,West,Corporate,8.82,2.3814,0.0,3
2017-09-18,2017,9,September,Office Supplies,Envelopes,West,Corporate,10.86,5.1042,0.0,3
2017-09-18,2017,9,September,Office Supplies,Paper,West,Corporate,143.7,68.976,0.0,3
2017-12-22,2017,12,December,Office Supplies,Appliances,Central,Consumer,839.43,218.2518,0.0,3
2015-09-07,2015,9,September,Office Supplies,Storage,West,Consumer,671.93,20.1579,0.0,7
2014-10-22,2014,10,October,Furniture,Furnishings,East,Home Office,93.888,12.9096,0.2,4
2016-12-05,2016,12,December,Technology,Phones,Central,Corporate,384.45,103.8015,0.0,11
2016-12-05,2016,12,December,Technology,Phones,Central,Corporate,149.97,5.9988,0.0,3
2016-12-05,2016,12,December,Furniture,Chairs,Central,Corporate,1951.84,585.552,0.0,8
2016-12-05,2016,12,December,Office Supplies,Binders,Central,Corporate,171.55,80.6285,0.0,5
2016-03-13,2016,3,March,Office Supplies,Appliances,West,Home Office,157.92,17.766,0.2,5
2016-03-13,2016,3,March,Technology,Phones,West,Home Office,203.184,15.2388,0.2,2
2015-05-31,2015,5,May,Office Supplies,Paper,West,Corporate,58.38,26.271,0.0,7
2015-05-31,2015,5,May,Office Supplies,Paper,West,Corporate,105.52,48.5392,0.0,4
2015-05-31,2015,5,May,Office Supplies,Storage,West,Corporate,80.88,21.0288,0.0,6
2015-05-28,2015,5,May,Office Supplies,Art,West,Home Office,6.63,1.7901,0.0,3
2014-03-01,2014,3,March,Furniture,Chairs,West,Consumer,457.568,51.4764,0.2,2
2016-11-20,2016,11,November,Office Supplies,Labels,Central,Consumer,14.62,6.8714,0.0,2
2016-11-20,2016,11,November,Technology,Phones,Central,Consumer,944.93,236.2325,0.0,7
2016-05-11,2016,5,May,Office Supplies,Paper,West,Consumer,5.98,2.691,0.0,1
2015-12-28,2015,12,December,Technology,Accessories,East,Consumer,54.384,1.3596,0.2,2
2016-11-16,2016,11,November,Office Supplies,Envelopes,West,Consumer,28.4,13.348,0.0,5
2016-11-07,2016,11,November,Office Supplies,Binders,West,Consumer,27.68,9.688,0.2,2
2014-09-08,2014,9,September,Office Supplies,Art,Central,Consumer,9.936,2.7324,0.2,3
2014-09-08,2014,9,September,Technology,Machines,Central,Consumer,8159.952,-1359.992,0.4,8
2014-09-08,2014,9,September,Office Supplies,Storage,Central,Consumer,275.928,-58.6347,0.2,3
2014-09-08,2014,9,September,Furniture,Chairs,Central,Consumer,1740.06,-24.858,0.3,9
2014-09-08,2014,9,September,Office Supplies,Art,Central,Consumer,32.064,6.8136,0.2,6
2014-09-08,2014,9,September,Office Supplies,Appliances,Central,Consumer,177.98,-453.849,0.8,5
2014-09-08,2014,9,September,Technology,Phones,Central,Consumer,143.976,8.9985,0.2,3
2014-08-05,2014,8,August,Office Supplies,Paper,West,Consumer,20.94,9.8418,0.0,3
2014-08-05,2014,8,August,Office Supplies,Paper,West,Consumer,110.96,53.2608,0.0,2
2014-08-05,2014,8,August,Furniture,Chairs,West,Consumer,340.144,21.259,0.2,7
2014-09-14,2014,9,September,Office Supplies,Appliances,Central,Corporate,52.448,-131.12,0.8,2
2014-09-14,2014,9,September,Office Supplies,Labels,Central,Corporate,20.16,6.552,0.2,4
2017-04-21,2017,4,April,Office Supplies,Appliances,Central,Consumer,97.264,-243.16,0.8,4
2015-11-21,2015,11,November,Furniture,Chairs,East,Consumer,396.802,-11.3372,0.3,7
2015-11-21,2015,11,November,Office Supplies,Supplies,East,Consumer,15.88,-3.7715,0.2,5
2015-12-15,2015,12,December,Office Supplies,Art,East,Home Office,3.28,1.4104,0.0,1
2014-12-05,2014,12,December,Office Supplies,Storage,Central,Corporate,24.816,1.8612,0.2,2
2014-12-05,2014,12,December,Technology,Accessories,Central,Corporate,408.744,76.6395,0.2,7
2014-11-19,2014,11,November,Technology,Phones,South,Home Office,503.96,131.0296,0.0,4
2014-11-19,2014,11,November,Technology,Phones,South,Home Office,149.95,41.986,0.0,5
2014-11-19,2014,11,November,Technology,Accessories,South,Home Office,29.0,7.25,0.0,2
2016-11-28,2016,11,November,Office Supplies,Binders,East,Consumer,7.16,3.4368,0.0,2
2014-08-26,2014,8,August,Technology,Accessories,West,Home Office,176.8,22.984,0.0,8
2016-07-16,2016,7,July,Office Supplies,Storage,Central,Corporate,37.224,3.7224,0.2,3
2016-07-16,2016,7,July,Office Supplies,Paper,Central,Corporate,20.016,6.255,0.2,3
2015-10-12,2015,10,October,Furniture,Bookcases,East,Home Office,899.136,112.392,0.2,4
2015-10-12,2015,10,October,Technology,Phones,East,Home Office,71.76,20.0928,0.0,6
2015-10-12,2015,10,October,Office Supplies,Paper,East,Home Office,51.84,24.8832,0.0,8
2015-10-12,2015,10,October,Furniture,Bookcases,East,Home Office,626.352,46.9764,0.2,3
2015-10-12,2015,10,October,Office Supplies,Art,East,Home Office,19.9,6.567,0.0,5
2015-10-31,2015,10,October,Office Supplies,Envelopes,West,Corporate,14.28,6.7116,0.0,7
2014-03-21,2014,3,March,Office Supplies,Art,East,Consumer,7.408,1.2038,0.2,2
2014-03-21,2014,3,March,Office Supplies,Art,East,Consumer,6.048,1.5876,0.2,3
2017-11-06,2017,11,November,Office Supplies,Storage,East,Home Office,46.26,12.0276,0.0,3
2017-07-06,2017,7,July,Office Supplies,Binders,East,Corporate,2.946,-2.2586,0.7,2
2017-07-06,2017,7,July,Office Supplies,Paper,East,Corporate,16.056,5.8203,0.2,3
2017-06-24,2017,6,June,Office Supplies,Paper,East,Consumer,21.744,6.795,0.2,3
2014-08-03,2014,8,August,Furniture,Tables,West,Consumer,218.75,-161.875,0.5,2
2014-08-03,2014,8,August,Office Supplies,Appliances,West,Consumer,2.6,0.2925,0.2,1
2017-12-17,2017,12,December,Office Supplies,Appliances,Central,Consumer,66.284,-178.9668,0.8,2
2017-06-03,2017,6,June,Furniture,Furnishings,South,Corporate,35.168,9.6712,0.2,7
2017-12-09,2017,12,December,Technology,Phones,West,Consumer,444.768,44.4768,0.2,4
2017-12-01,2017,12,December,Office Supplies,Storage,Central,Consumer,83.92,5.8744,0.0,4
2017-12-01,2017,12,December,Technology,Phones,Central,Consumer,131.98,35.6346,0.0,2
2017-12-01,2017,12,December,Office Supplies,Binders,Central,Consumer,15.92,7.4824,0.0,4
2017-12-01,2017,12,December,Office Supplies,Fasteners,Central,Consumer,52.29,16.2099,0.0,9
2017-12-01,2017,12,December,Office Supplies,Storage,Central,Consumer,91.99,3.6796,0.0,1
2015-02-09,2015,2,February,Technology,Accessories,Central,Corporate,20.8,6.5,0.2,2
2015-01-02,2015,1,January,Office Supplies,Labels,East,Corporate,23.68,8.88,0.2,2
2015-01-02,2015,1,January,Furniture,Bookcases,East,Corporate,452.45,-244.323,0.5,5
2015-01-02,2015,1,January,Technology,Phones,East,Corporate,62.982,-14.6958,0.4,3
2015-01-02,2015,1,January,Technology,Machines,East,Corporate,1188.0,-950.4,0.7,9
2015-01-02,2015,1,January,Technology,Accessories,East,Corporate,89.584,4.4792,0.2,2
2016-10-28,2016,10,October,Office Supplies,Storage,West,Consumer,93.06,26.0568,0.0,6
2016-10-28,2016,10,October,Technology,Phones,West,Consumer,302.376,22.6782,0.2,3
2015-12-24,2015,12,December,Office Supplies,Fasteners,East,Consumer,5.584,1.8148,0.2,2
2015-12-24,2015,12,December,Office Supplies,Paper,East,Consumer,22.704,8.2302,0.2,6
2015-12-24,2015,12,December,Office Supplies,Binders,East,Consumer,19.776,-13.8432,0.7,4
2015-12-24,2015,12,December,Furniture,Furnishings,East,Consumer,72.704,19.0848,0.2,4
2015-12-24,2015,12,December,Technology,Machines,East,Consumer,479.988,-383.9904,0.7,4
2015-12-24,2015,12,December,Office Supplies,Art,East,Consumer,27.168,2.7168,0.2,2
2015-08-09,2015,8,August,Office Supplies,Art,Central,Corporate,2.2,0.968,0.0,1
2015-08-09,2015,8,August,Furniture,Tables,Central,Corporate,622.45,136.939,0.0,5
2015-08-09,2015,8,August,Office Supplies,Storage,Central,Corporate,21.98,0.2198,0.0,1
2015-02-28,2015,2,February,Furniture,Chairs,South,Consumer,161.568,-28.2744,0.2,2
2015-02-28,2015,2,February,Furniture,Chairs,South,Consumer,389.696,43.8408,0.2,8
2014-09-13,2014,9,September,Office Supplies,Binders,South,Corporate,18.648,-12.432,0.7,7
2017-04-07,2017,4,April,Furniture,Tables,South,Home Office,233.86,-102.048,0.45,2
2017-04-07,2017,4,April,Furniture,Tables,South,Home Office,620.6145,-248.2458,0.45,3
2017-04-07,2017,4,April,Office Supplies,Binders,South,Home Office,5.328,-3.552,0.7,2
2017-04-07,2017,4,April,Furniture,Furnishings,South,Home Office,258.072,0.0,0.2,3
2017-04-07,2017,4,April,Technology,Accessories,South,Home Office,617.976,-7.7247,0.2,3
2017-11-12,2017,11,November,Office Supplies,Paper,West,Corporate,10.56,4.752,0.0,2
2016-06-04,2016,6,June,Office Supplies,Paper,Central,Consumer,25.92,9.396,0.2,5
2016-06-04,2016,6,June,Furniture,Furnishings,Central,Consumer,419.68,-356.728,0.6,5
2016-06-04,2016,6,June,Furniture,Furnishings,Central,Consumer,11.688,-4.6752,0.6,3
2016-06-04,2016,6,June,Technology,Phones,Central,Consumer,31.984,11.1944,0.2,2
2016-06-04,2016,6,June,Furniture,Tables,Central,Consumer,177.225,-120.513,0.5,5
2016-06-04,2016,6,June,Furniture,Furnishings,Central,Consumer,4.044,-2.8308,0.6,3
2016-06-04,2016,6,June,Office Supplies,Art,Central,Consumer,7.408,1.2038,0.2,2
2014-06-01,2014,6,June,Furniture,Chairs,Central,Home Office,2001.86,580.5394,0.0,7
2014-06-01,2014,6,June,Office Supplies,Storage,Central,Home Office,166.72,41.68,0.0,2
2014-06-01,2014,6,June,Office Supplies,Paper,Central,Home Office,47.88,23.94,0.0,6
2014-06-01,2014,6,June,Office Supplies,Appliances,Central,Home Office,1503.25,496.0725,0.0,5
2014-06-01,2014,6,June,Office Supplies,Paper,Central,Home Office,25.92,12.4416,0.0,4
2016-12-10,2016,12,December,Furniture,Chairs,West,Consumer,321.568,28.1372,0.2,2
2016-09-11,2016,9,September,Office Supplies,Paper,West,Consumer,7.61,3.5767,0.0,1
2016-09-11,2016,9,September,Technology,Accessories,West,Consumer,3347.37,636.0003,0.0,13
2016-12-10,2016,12,December,Office Supplies,Storage,East,Consumer,80.58,22.5624,0.0,6
2016-12-10,2016,12,December,Office Supplies,Envelopes,East,Consumer,361.92,162.864,0.0,4
2015-11-28,2015,11,November,Furniture,Furnishings,Central,Corporate,12.132,-8.4924,0.6,9
2015-11-28,2015,11,November,Office Supplies,Storage,Central,Corporate,82.368,-19.5624,0.2,2
2015-11-28,2015,11,November,Office Supplies,Storage,Central,Corporate,53.92,4.044,0.2,5
2015-11-28,2015,11,November,Technology,Phones,Central,Corporate,647.904,56.6916,0.2,6
2017-12-01,2017,12,December,Technology,Accessories,East,Consumer,20.37,6.9258,0.0,3
2017-12-01,2017,12,December,Office Supplies,Storage,East,Consumer,221.55,6.6465,0.0,3
2017-12-01,2017,12,December,Office Supplies,Binders,East,Consumer,17.52,6.132,0.2,5
2017-06-08,2017,6,June,Office Supplies,Appliances,Central,Corporate,1.624,-4.466,0.8,2
2014-09-19,2014,9,September,Technology,Machines,Central,Corporate,3059.982,-509.997,0.4,3
2014-09-19,2014,9,September,Technology,Machines,Central,Corporate,2519.958,-251.9958,0.4,7
2016-06-06,2016,6,June,Technology,Phones,Central,Consumer,328.224,28.7196,0.2,4
2015-11-10,2015,11,November,Technology,Accessories,West,Consumer,79.9,35.156,0.0,2
2017-06-16,2017,6,June,Office Supplies,Art,South,Corporate,14.016,4.7304,0.2,3
2016-01-22,2016,1,January,Office Supplies,Fasteners,East,Consumer,7.56,0.3024,0.0,6
2017-12-09,2017,12,December,Office Supplies,Storage,East,Corporate,37.208,-7.4416,0.2,1
2017-12-09,2017,12,December,Office Supplies,Envelopes,East,Corporate,57.576,21.591,0.2,3
2017-12-28,2017,12,December,Office Supplies,Storage,West,Corporate,725.84,210.4936,0.0,4
2015-07-30,2015,7,July,Technology,Accessories,West,Consumer,209.93,92.3692,0.0,7
2015-07-30,2015,7,July,Furniture,Furnishings,West,Consumer,5.28,2.3232,0.0,3
2015-07-30,2015,7,July,Office Supplies,Binders,West,Consumer,10.92,4.095,0.2,3
2017-09-16,2017,9,September,Office Supplies,Paper,West,Corporate,8.82,4.0572,0.0,2
2017-09-16,2017,9,September,Office Supplies,Art,West,Corporate,5.98,1.5548,0.0,1
2017-10-13,2017,10,October,Office Supplies,Paper,East,Corporate,11.648,4.0768,0.2,2
2017-10-13,2017,10,October,Office Supplies,Paper,East,Corporate,18.176,5.9072,0.2,4
2017-10-13,2017,10,October,Office Supplies,Storage,East,Corporate,59.712,5.9712,0.2,6
2017-10-13,2017,10,October,Office Supplies,Labels,East,Corporate,24.84,8.694,0.2,3
2015-09-26,2015,9,September,Office Supplies,Binders,Central,Consumer,2.08,-3.432,0.8,5
2015-09-26,2015,9,September,Technology,Phones,Central,Consumer,1114.4,376.11,0.2,7
2015-11-02,2015,11,November,Furniture,Tables,West,Consumer,1038.84,51.942,0.2,5
2015-09-26,2015,9,September,Office Supplies,Paper,West,Consumer,141.76,47.844,0.2,5
2015-09-26,2015,9,September,Technology,Accessories,West,Consumer,239.8,47.96,0.2,5
2015-09-26,2015,9,September,Office Supplies,Paper,West,Consumer,31.104,10.8864,0.2,6
2016-12-18,2016,12,December,Office Supplies,Binders,South,Corporate,254.058,-169.372,0.7,7
2016-12-18,2016,12,December,Office Supplies,Appliances,South,Corporate,194.528,24.316,0.2,2
2016-12-18,2016,12,December,Office Supplies,Supplies,South,Corporate,961.48,-204.3145,0.2,5
2016-11-20,2016,11,November,Office Supplies,Fasteners,East,Home Office,19.096,6.6836,0.2,7
2016-11-20,2016,11,November,Office Supplies,Labels,East,Home Office,18.496,6.2424,0.2,8
2016-11-20,2016,11,November,Technology,Accessories,East,Home Office,255.984,54.3966,0.2,2
2016-11-20,2016,11,November,Furniture,Bookcases,East,Home Office,86.97,-48.7032,0.5,3
2014-12-26,2014,12,December,Furniture,Furnishings,West,Corporate,300.416,78.8592,0.2,8
2014-12-26,2014,12,December,Furniture,Chairs,West,Corporate,230.352,20.1558,0.2,3
2014-12-26,2014,12,December,Furniture,Furnishings,West,Corporate,218.352,-24.5646,0.2,3
2014-12-26,2014,12,December,Office Supplies,Binders,West,Corporate,78.6,-62.88,0.7,5
